ISIN,Values
US03522AAJ97,12349272.47
US36164QNA21,12009489.17
US126650CZ11,11189153.33
US126650CX62,10742082
US38141GFD16,8461999.928
US87264ABE47,8000668.472
US95000U2M49,7964893.75
US00287YBS72,7384366.903
US06051GJA85,7197873.833
US594918CC64,6914783.66
US06051GHD43,6724005.629
US097023CW33,6665054
US03522AAH32,6618610.408
US126650CV07,6539418.667
US126650CY46,6485593.333
US06051GHC69,6323208.888
US00287YBW84,6179198.056
US594918BT09,5958010
US037833BX70,5863595.333
US92343VCX01,5842631.62
US037833AK68,5834959.167
US20030NCM11,5823732.889
US126650CW89,5750171.667
US25156PAC77,5662395.861
US92343VCK89,5614350.614
US03523TBV98,5558783.333
US00206RCN08,5557882.222
US00206RDJ86,5520738.812
US68389XBX21,5439600
US110122CD86,5382184.167
US11134LAH24,5284961.161
US25272KAK97,5269489
US92343VER15,5253852.124
US035240AQ30,5195844.819
US161175AY09,5192290.846
US097023CY98,5038972.5
US031162CF59,5007575.397
US92826CAF95,4986374.944
US00287YBR99,4952790
US161175BA14,4943046.901
US002824BH26,4930777.944
US20030NCT63,4927314.444
US172967MP39,4901142.222
US023135BJ40,4868010
US92343VEU44,4854480.6
US38141GGS75,4847566
US126650CN80,4799080.611
US913017BT50,4709967.5
US110122CB21,4684007.556
US594918BY93,4683542.667
US437076AS19,4646847.5
US125523AH38,4627137.526
US87264ABC80,4549576.667
US06051GEU94,4535189.167
US172967KA87,4519567.831
US46647PAL04,4503138.889
US92826CAD48,4500260
US717081CY74,4472102.5
US111021AE12,4456282.139
US377372AE71,4432961.729
US046353AD01,4429282.458
US594918BR43,4422941.333
US00287YBU29,4413377.111
US92343VBR42,4401713.303
US20825CAQ78,4399219.917
US68389XBY04,4385323.25
US822582AD40,4358171.354
US68389XBK00,4350208.389
US00206RCQ39,4335208.306
US097023CX16,4309590.833
US125523AK66,4236635.743
US00287YAQ26,4209956.25
US931142EC31,4205260.5
US35177PAL13,4157449.784
US92857WBM10,4154953
US07274NAL73,4151310.431
US38141GWZ35,4149941.542
US25272KAG85,4147075.208
US594918CD48,4139319.063
US46647PBE51,4095317.187
US20030NCL38,4082304.333
US023135BC96,4068316
US92343VDU52,4034791.148
US46625HHF01,4028416.944
US00287YBQ17,4023209.583
US38141GGM06,4020590.417
US822582BF88,4013884.917
US92343VEA89,3965223
US459200KC42,3965109.167
US037833AL42,3963733
US369604BY81,3949556.25
US92343VDY74,3930816.5
US38141GGQ10,3929024.375
BE6285455497,3925523.602
XS0525602339,3914132.171
US38141GXJ83,3901895.278
US95000U2B83,3898501.875
US05526DBB01,3889558.613
US949746SK86,3881066.25
US20030NCN93,3873988.75
US00206RDR03,3873946.5
US949746RW34,3862880
US36962GXZ26,3851079.561
US949746SH57,3848154.333
BE6285457519,3836698.241
US097023CT04,3834617.5
US03522AAG58,3832983.385
US172967MQ12,3829407.944
US459200KA85,3829300.222
US95000U2G70,3812786.444
US95000U2Q52,3808082.444
US68389XBT19,3798315.5
US30231GBG64,3787899.729
US6174468L62,3782925.417
US247361ZX93,3779823.444
US00206RGQ92,3778853.407
US92343VDS07,3771784.777
US68389XBJ37,3758458.333
US46647PBJ49,3750068.667
US06051GHS12,3741757.097
US055451AV01,3733362.222
US251526BX61,3730480.067
US87264AAY10,3722475
US06051GHZ54,3721347
US80414L2F13,3714254.5
US037833BY53,3713710.181
US172967MS77,3712913.556
US716743AR02,3706798.486
US68389XBV64,3697445.375
US46647PBK12,3675492.333
US02209SBD45,3665540
US92857WBK53,3644881.833
US6174468G77,3631783.25
US023135BF28,3625472.583
US404280AH22,3620792.222
US913017CY37,3608040
US80414L2E48,3604511
US00206RHJ41,3598258.5
US02209SBF92,3596143.889
US68389XBW48,3592263
FR0010800540,3586643.067
US00206RBK77,3577133.706
US00287YAS81,3572092.2
US06051GHQ55,3564853.5
US06051GHM42,3549990.583
US225401AP33,3540598.5
US11135FAB76,3539256.833
US6174468P76,3523413.333
US110122BZ08,3516298.861
US404280BT50,3513545.75
US36962G3P70,3513059.011
US172967MD09,3509819.583
US097023CV59,3506831
US92343VCV45,3505861.029
US20030NCS80,3496003.167
US172967EW71,3486228.822
US88032WAN65,3479893.75
US404280AW98,3479073.667
US337738AU25,3477090
US61744YAP34,3464721.333
US949746RF01,3455651.466
US46625HJD35,3446322.75
US61744YAK47,3432808.5
US6174468C63,3431962.667
US61746BDZ67,3431125.917
US61746BEF94,3420613.667
US459200JZ55,3412202
US95000U2S19,3410148.444
US404280CC17,3407804.5
US38141GWB66,3406838.667
US06051GFH74,3403888
US82481LAD10,3398409.333
US61744YAH18,3396577.708
US82481LAB53,3395595.5
US594918BJ27,3389809.417
US46625HJY71,3389484.5
US06051GHT94,3378140.417
US061202AA55,3377600
US161175BT05,3373986
US95000U2A01,3373088
US61761JVL06,3372902.667
US22546QAP28,3370747.583
US38141GVM31,3370110.333
US61746BDQ68,3364409.583
US38148YAC21,3359564.722
US80414L2D64,3356693
US61746BED47,3356665.271
US61747YDY86,3353031.111
US00287YAM12,3348215.426
US172967KY63,3347637.667
US46625HRV41,3347134.5
US61761J3R84,3342356.417
US023135BM78,3341364
US87264ABA25,3333561.667
US38141GWC40,3332487.167
FR0000471930,3330260.639
US30231GBM33,3329261.528
US931142EE96,3319706.194
US617482V925,3299014.667
US87938WAU71,3294596.944
US68389XBM65,3293237.833
US95000U2C66,3292499
XS0304159576,3287560.501
US375558BD48,3284360.625
US459200JY80,3279484
US458140BM12,3277285.125
US30231GAW24,3268589.583
US06428JAA79,3268272.333
US00287YDC03,3267077.186
US00206RKA94,3260149
US46647PBP09,3257095
US254687FZ49,3252103.25
US06051GHF90,3251446.167
US68389XAM74,3251162.403
US00287YAL39,3243794.585
US92343VCQ59,3243005.833
US084664CQ25,3240240.317
US161175BN35,3240011.075
US17275RAD44,3231663.778
US21685WDD65,3212338.833
US06051GJB68,3210072
US46625HJE18,3208703.167
US95000U2J10,3199263.667
US6174468N29,3198873.111
US126650CL25,3197684.359
US46625HRY89,3196951.542
US375558BF95,3195439.958
US161175BB96,3195217.036
US097023CS21,3189950
US46625HJC51,3184742.5
US00206RJY99,3178090
US06051GJE08,3163836
US6174468Q59,3161133
US95000U2H53,3160261
US68389XBN49,3151187.264
US00287YAR09,3148952.5
BE6285454482,3146587.202
US95000U2K82,3144970.667
US983024AN02,3142529
US172967LD18,3138700.125
US161175BL78,3136450.898
US95000U2N22,3134920.333
XS1586555945,3123811.438
US00287YBL20,3117103.667
US035240AN09,3110865.278
XS2121367192,3105522.488
US36166NAB91,3102236.011
US00206RDK59,3100566.447
US61746BEG77,3097395.375
FR0011710284,3096567.157
US46647PAJ57,3092918.333
US17275RAF91,3092198.222
US404280CF48,3091042.5
US585055BS43,3089816.413
US822582BD31,3089139.319
US95000U2L65,3087687.222
US11135FAP62,3086575.861
US00206RCG56,3085785.833
US00206RCT77,3085249.029
XS1195202822,3079726.143
US38145GAH39,3073526.5
US92343VCZ58,3072967.583
US26078JAF75,3070641.885
US761713BB19,3060907.875
US38148YAA64,3057430.833
US949746SA05,3050300
US30231GBH48,3046324.417
US02364WAW55,3046292.778
XS2193661324,3046101.419
US46647PAX42,3043015.833
US03523TBW71,3037027.111
US06051GJD25,3022997.75
FR0011132356,3017979.398
US87938WAC73,3017794.778
US00206RCP55,3015520
US172967MF56,3010992.722
US035242AL09,3010126.979
US031162BZ23,2997466.5
US61744YAQ17,2994773.986
US931142EK56,2985788.361
US59022CAJ27,2979564.556
US94988J5R41,2978246.445
US46647PAV85,2972256.875
US931142CB75,2964282.925
US110122BU11,2963182.177
US95000U2D40,2960445.278
US46647PBL94,2959924.917
US125523AJ93,2959733.274
US38141GXH28,2952444.167
US172967ME81,2951000.278
US641062AN41,2948731.333
US666807BP60,2947952.875
US05526DBF15,2944044.654
US035240AL43,2938361.667
US46625HJH49,2934576.333
US06051GHG73,2932041.806
US780097BD21,2913584.606
FR0010763177,2912315.215
US46647PBD78,2910933.333
XS0452187320,2905089.747
US42824CAW91,2900199.268
US05526DBD66,2898847.361
US90351DAB38,2897425.833
US38141GWV21,2890626.806
US459200JX08,2887900.125
FR0013398070,2887804.604
US01609WAT99,2887176.583
US06051GFC87,2886056.444
US94974BGL80,2882214.167
US91324PCR10,2877274.556
US07274NAJ28,2871833.472
US822582BQ44,2870952
US68389XBQ79,2865609.25
US06051GFX25,2859537.5
US00206RGL06,2856799.592
US06051GGF00,2856429.444
US06738EAN58,2853236.111
US761713BG06,2849882.778
US11135FAE16,2849126.806
US03523TBX54,2848798.472
US38141GWL49,2848282.431
US46647PAF36,2847260
US172967JT97,2846084.167
US89153VAV18,2843127.014
US30231GBL59,2843111.715
US46625HMN79,2843093.333
US035240AT78,2841502.5
US084670BS67,2841200.347
US404280AG49,2839505.556
US594918BS26,2838592.5
US59023VAA89,2837019.837
US404280BX62,2834330.556
US46625HQW33,2833112.5
US404280BK42,2829259.375
US172967LP48,2828466.389
US94974BGP94,2828279.306
US06051GFP90,2827990.139
US404280BB43,2823252.5
US30231GAT94,2821581.458
US25272KAR41,2813166.556
US92343VEN01,2812108.302
US95000U2R36,2805951.194
US594918BP86,2805042.472
XS0452187916,2804397.833
US037833BH21,2803945.167
US38148LAF31,2801973.333
US20030NCR08,2800687.778
US06051GGA13,2798166.389
FR0010946855,2792714.04
US26078JAD28,2792286.563
US037833AS94,2788545.833
US06051GFM69,2786301.667
US06051GFB05,2784603.75
US75625QAE98,2782359.167
US026874DA29,2778858
US46647PAY25,2778179.375
US36186CBY84,2776634.982
US06051GHV41,2775026.528
US037833DW79,2774842.639
US110122BN77,2773704.186
US161175AZ73,2773655.333
US26078JAB61,2772192.014
US88032WAG15,2767996.875
US94974BFY11,2766200.4
US00287YCF43,2762454.014
US68389XBC83,2760227.361
US084664CR08,2758955.444
US00401MAB28,2757853.511
US606822AD62,2754082.344
US58933YAR62,2751075.833
XS2193662728,2748272.265
US594918BU71,2747108.324
US404280BZ11,2744403.819
US344419AC03,2741984.167
US38148LAC00,2741490.278
US94974BGH78,2740482.5
US38141GWQ36,2740051.944
US86562MBP41,2739208.333
US95000U2F97,2738764.722
US61746BDJ26,2737531.25
US606822BN36,2737376.85
US46625HKC33,2731047.569
US00206RJZ64,2729858.333
US06051GGG82,2727058.667
US225433AF86,2726856.043
US46647PAU03,2723310.903
US46647PAA49,2722668
US00206RDS85,2721758.333
US06051GHL68,2721339.167
US254687FX90,2719254.583
US337738AV08,2717534
XS1218287230,2703022.463
US172967KR13,2701604.222
US05526DAZ87,2700414.409
US06738EBE41,2686815.139
US055451AX66,2685515.625
BE6320936287,2684328.831
US82481LAC37,2679746.597
US11135FAH47,2676253.25
XS2149207354,2676234.866
US23380YAD94,2676111.111
US46625HJB78,2674796.639
US225433AC55,2667456.276
US023135BT22,2666643.611
US02209SBE28,2664458.444
US68389XBL82,2661189.167
US46647PAR73,2660901.188
US268317AC80,2660855.944
US904678AJ86,2659401.944
US07274NAQ60,2657335.5
US478160BV55,2656876.667
US110122CC04,2655514.167
US6174467Y92,2654988
US61744YAN85,2654935.069
XS1799611642,2650438.554
US94974BFC90,2650242.778
US172967FT34,2650017.5
US404119BZ18,2648841.667
US031162CS70,2644989.188
CH0537261858,2644721.238
US36962G4B75,2644660.543
US857006AG58,2642094.817
US037833CD08,2641630.667
US585055BU98,2641132.627
US585055BT26,2639109.368
US172967LC35,2637102.333
US68389XAP06,2634249.444
XS1001749289,2631923.104
US94974BFP04,2631214.855
US05565QDU94,2629687.5
US00206RJX17,2626940.833
FR0013324357,2625195.882
US20030NCE94,2623735.188
US404280BJ78,2623548.75
US66989HAH12,2622884.161
US58933YAT29,2619469.333
US94974BGQ77,2616647.858
US03523TBU16,2614887.889
US037833CJ77,2614854.125
US30231GBF81,2607823.5
US172967LM17,2606866.389
US166764BW97,2603782.083
US00287YAW93,2602726.444
US458140AS90,2601070.25
US68389XBB01,2597806.111
US06051GFF19,2597546.447
US11135FAF80,2596670
XS1603892149,2593395.691
US20030NCC39,2591325.892
XS1204154410,2589755.125
US75625QAC33,2588832.639
US594918BZ68,2583627.279
XS2150054026,2578296.603
US404280BF56,2576832.639
US61747WAL37,2574580.05
US92857WAQ33,2572800.117
US68389XBF15,2572611.167
US716743AP46,2571623
US842587CX39,2570042
US62854AAN46,2566661.311
US654579AD34,2566575
US853254AN08,2566353.333
US59562VAM90,2565984.63
US459200KB68,2562602.556
US902674YA28,2562310.694
US94974BGU89,2560329.81
US225401AC20,2559109.375
US46647PAM86,2559009.063
XS0452314536,2558726.134
US125523AG54,2557938.3
US46647PBN50,2553315
US110122CA48,2553111.5
US172967LS86,2548027.75
US46625HLL23,2544987.375
XS1615079974,2538790.965
FR0011318658,2538647.073
US878091BF35,2536655.222
US780153AZ50,2535534.444
XS1382784509,2531495.718
US06051GGM50,2529229.111
FR0011182641,2529102.772
US46623EKG34,2528220.625
US166764BL33,2527339.5
US375558AX11,2524457.25
US94974BGT17,2519765.467
US38148LAE65,2519529.75
US00206RHK14,2517418.333
US68389XBU81,2515457.25
US11135FAK75,2514692.714
US694308JE87,2512649.583
US12591DAC56,2509940
US780099CH81,2506128
US82620KAF03,2502504.472
US92343VDD38,2500756.688
US037833BA77,2499601.667
US20030NBS99,2497326.7
US94974BGA26,2497148.25
XS1458408561,2494840.763
US61744YAL20,2492907.667
US38141EC238,2492768
US94974BGK08,2489650
XS2116430997,2488986
XS1629866432,2487071.903
US780099CE50,2484130.437
US037833BZ29,2483279.25
US594918BB90,2482224.75
US06051GHR39,2475977.375
US17325FAS74,2475355.375
XS1400169931,2473206.478
US01609WAQ50,2468778.792
US07274NAE31,2465461.063
BE6301510028,2465429.476
US49271VAF76,2465137.5
US09062XAD57,2464840.194
BE6320935271,2461821.913
US913017CX53,2461642.75
US594918BX11,2459245.75
US17308CC539,2457293.25
US87264AAW53,2452933.056
US254687FS06,2450669.278
US375558BA09,2449935.25
XS1960248919,2446123.581
US67066GAH74,2442434.444
US38141GVS01,2441196.819
US11135FAT84,2432871
US458140BG44,2428447.409
US86562MAF77,2426522.75
US35137LAH87,2426220.833
US172967KU42,2422926.975
US166764AH30,2419716.875
XS1485597329,2418295.769
US375558BK80,2417913.458
US04650NAB01,2416616.634
XS1379182006,2415808.169
US279158AN94,2414993.056
XS1614198262,2413920.297
US38141GRD87,2413901.625
XS1629774230,2411079.035
US172967ML25,2409126.625
US10373QAE08,2406274.222
US09659W2F00,2405454.889
XS1463043973,2403823.138
US38141EC311,2403339.167
XS2149270477,2398784.971
US58013MFA71,2398653.979
XS1456422135,2394962.286
XS0426513387,2393493.865
US66989HAG39,2393325.056
US911312AJ59,2392742.833
US20030NBQ34,2391557.922
US06051GEN51,2390818.875
BE6285452460,2390270.51
CA89117FWS42,2383998.017
US92826CAC64,2383819.25
FR0010891317,2382033.098
US6174467X10,2381107.778
US125523AF71,2377599.604
US718172AC39,2377095
US539439AP41,2371506.188
US458140BJ82,2370846.556
US46647PBB13,2369316.938
US05526DAV73,2364862.146
US853254BS85,2364344
US785592AM87,2363415.472
US46647PBH82,2363275.688
US00206RDQ20,2361626.333
FR0013365491,2358922.598
US30231GBK76,2358862.333
US00287YBD04,2356547.958
US94988J5T07,2354914.5
XS2079723552,2354320.992
US06051GFU85,2348867.222
US06738EAP07,2348864.944
US172967LG49,2348617.875
US38141GWM22,2346326.5
XS0379947236,2345826.486
US90352JAC71,2343458.722
US172967LW98,2341520.944
US46625HJZ47,2340894.167
US826200AD92,2339857.382
US02209SAR40,2339043.1
US606822BL79,2337717.625
US606822BA15,2336009.281
US94974BGE48,2333563.321
US92857WBS89,2332815.188
US88032WAU09,2331113.375
US46647PBA30,2330864
XS1372839214,2329632.043
US37045VAV27,2329477.111
US06051GFL86,2328002.667
US0258M0EL96,2327901.333
US225433AR25,2325150.531
US002824BG43,2322556.133
US90351DAF42,2320090.167
US747525AU71,2315289.778
US404119BX69,2314980.167
US037833DT41,2313126.563
US785592AW69,2312994
US455881AD47,2312455.833
US233835AQ08,2310511.667
CA891160K519,2308002.17
US06051GGC78,2307648.5
US594918CA09,2307607.225
US91533BAF76,2306068
US49456BAH42,2304560.125
US585270AA92,2304121.111
FR0013464963,2303362
US01609WAV46,2302962.667
US85208NAD21,2302127.567
US61761JZN26,2301469.222
US785592AJ58,2300299.444
US00206RHA32,2296034.295
US38141GVR28,2295358.778
US06051GGL77,2295040.333
US037833CR93,2294608.889
US11135FAR29,2292417.111
US00206RBH49,2289946.977
US031162CR97,2288769
US539830BH11,2288617.889
US21685WCJ45,2288411
US666807BN13,2286339.222
US91324PCP53,2285262.333
US404119BN87,2283218.444
XS2114413565,2282964.724
US037833DB33,2282639.111
US046353AL27,2275418
US38145GAG55,2272844.875
XS1612542826,2272810.846
US06738EAW57,2272000.667
US780097AZ42,2266696
US06051GGR48,2266301.278
US00206RFU14,2265100.932
US172967KG57,2263060.889
US279158AJ82,2261583.333
US023135AQ91,2257212.75
US337738AT51,2257078
XS0895249620,2254937.785
US037833BG48,2254003.333
US46647PAN69,2253818.438
US878091BD86,2252259.533
US23330JAA97,2251562.639
US747525AF05,2251069.333
XS1708335978,2250956.755
US172967KN09,2248375.333
US149123CB51,2246595.774
XS0785710046,2242848.993
US225401AF50,2242321.111
US23636TAE01,2242218.111
US931427AH10,2241987.778
XS0748187902,2241461.301
US459200HU86,2239824.556
US29278GAA67,2238379.5
US68389XAV73,2236806.056
US35137LAK17,2236722.333
US208251AE82,2235733.564
US539830BN88,2235673.357
US20030NCZ24,2234517.3
US30212PAS48,2232635.444
US46625HJX98,2230374.167
XS1048428442,2227884.127
US780097BK63,2227303
US00287YAY59,2225915.556
US98956PAF99,2224671
US406216BK61,2224021.778
XS0728812495,2223728.867
US478160BY94,2223182.333
US14448CAC82,2222267.056
US404280AJ87,2221762
US06738EAE59,2220226.667
US30231GBN16,2218143
US931142CK74,2214554.681
US404280AP48,2212628.889
US26078JAE01,2211426.938
US12634MAB63,2207756.889
US097023CU76,2205254
US06738EBH71,2204770
US88732JAN81,2203807.5
US06053FAA75,2202069.111
US68389XAU90,2200983.778
US6174824M37,2200610.5
US023135AZ90,2200312.667
US023135BU94,2199434
US458140BH27,2198864.111
US06051GHX07,2198265.333
US88032WAV81,2197580
US92857WBH25,2196982
US68389XBS36,2196887.889
US693475AZ80,2196560
US91911TAH68,2196215.437
US539473AE82,2194570.746
US61747YDU64,2193731.333
US10373QBG47,2193604.667
US06051GGZ63,2191939
US49271VAG59,2188064.59
US06738EAJ47,2186665.75
US46647PAH91,2184982.667
XS2148370211,2181724.063
XS1738994596,2180320.454
US268317AU88,2180302.2
XS2180007549,2180012.23
US02079KAC18,2178517
US09659W2D51,2178218.5
US874060AW64,2175937.835
FR0013213295,2175227.425
US718546AL86,2173401.408
US26078JAC45,2171057.89
US404280BS77,2170813.111
XS0294624373,2170794.389
XS0410937659,2167740.464
CA06368BTX69,2166196.869
XS1909186451,2165307.386
US713448DD75,2164568.333
US00287YCK38,2164011.419
US404280BA69,2163770
XS1413581205,2163317.951
US654579AA94,2162777.778
XS1840618059,2158393.544
US46625HJJ05,2157906.5
US225433AT80,2156900.413
US337738AS78,2156453
XS2075811948,2156027.224
US38141GXG45,2155742
US437076BH45,2155357.6
US92976GAJ04,2155130.63
US037833DN70,2154978.778
US94974BFJ44,2154607
US65339KBR05,2154266
US85208NAE04,2153606.329
US842400GG23,2152886.4
XS1859010685,2151875.153
US20030NBH35,2151721.828
US225433AH43,2151493.88
US80007RAE53,2148888.283
US718546AC87,2147480.37
US75625QAD16,2145934.889
XS1843449395,2145212.381
US92343VDR24,2144671.992
XS0437306904,2144126.358
US78009PEH01,2141319.25
US251526CB33,2141037.444
FR0013201308,2139949.507
US404280AN99,2138850.222
US084670BR84,2137849.444
XS1001749107,2136199.354
XS0635033631,2135366.362
US00440EAW75,2135357.75
CH0409606354,2134032.554
US337932AC13,2133983.792
XS2167003685,2133752.418
US68389XBP96,2133436.472
US110122BW76,2132807.123
US03523TBT43,2130636.958
US6174468J17,2130544.667
US82620KAT07,2130487.5
US377372AN70,2128232.118
US09659W2J22,2126696.167
US06051GHW24,2126082.667
US902494BH59,2125843.5
US86562MBM10,2125513.333
US00287YBF51,2123843.944
US437076BX94,2123514
US46647PBF27,2122852.833
US46625HRL68,2121866
US14448CAA27,2121142.556
US80414L2C81,2117115.667
XS1412266907,2116547.227
US718546AH74,2116176.539
US747525AK99,2116033
US06738EBD67,2115704.5
XS1115479559,2113090.246
US780097BG51,2112855.889
US12625GAC87,2111608.667
FR0013403441,2109139.318
US404280CE72,2108398.5
US90352JAA16,2107762.389
US14448CAF14,2107673.889
US06738EAV74,2106715.5
US88732JAU25,2105109.75
US90352JAE38,2104439.833
US747525AE30,2103539.333
XS1457608013,2103188.477
XS1788513734,2103157.681
US717081ET61,2100885.208
US377373AD71,2099168.667
US60871RAG56,2099146.667
US254687FM36,2097666.333
US77819RAA77,2095925.444
US58013MFK53,2095380.146
US21987BBA52,2095138.444
US458140AJ91,2093772
US58933YAW57,2092594
XS1382792197,2092433.426
CA06367XYL95,2092345.81
FR0013324332,2091118.572
US166764AB69,2089906.167
US90351DAH08,2089430.333
US931427AQ19,2088900.85
US84265VAJ44,2088107.208
US907818FK90,2087876.778
US88732JAJ79,2087802.25
US254687FL52,2087195.333
US85325WAA62,2087194.556
US853254AJ95,2087080.556
US29268BAF85,2086161
US86562MAQ33,2085774.667
XS1856833543,2085483.697
US91911TAP84,2083718.878
US58933YAX31,2082026.917
XS0866310088,2081619.542
US606822AP92,2081408.167
US06051GFS30,2079382.179
US532457BT48,2079073.583
US22546QAR83,2078009.333
XS1944456018,2076981.445
FR0013216926,2076187.722
US36164Q6M56,2076063.226
US91913YAL48,2075640.292
US00206RCU41,2074937.917
US29278GAB41,2074822.5
US09659W2L77,2074244.611
XS1111559925,2074143.891
US882508BD51,2072917.917
US172967LV16,2070714.222
US03523TBF49,2065810.869
FR0013358116,2065332.479
XS0419834931,2062851.387
US06051GFZ72,2061578.389
US00206RCS94,2059926.452
US023135BS49,2058709.333
FR0010491720,2053587.154
FR0013505633,2053522.029
US00206RCM25,2052285.807
US22550L2A85,2052084.667
US06367TJX90,2050000.889
US025816BW85,2048534.806
US548661DS37,2048204.917
US69370PAA93,2048053
US46647PBQ81,2047498.778
US26614NAA00,2047455.5
US17275RBJ05,2047155.556
FR0013482833,2046875.057
US404280CG21,2044425
US09062XAF06,2042053.125
DE000A2R9ZT1,2041671.202
XS2050406094,2036713.768
XS2153409029,2034862.537
US37045XBM74,2034813.111
US254687FY73,2030995.167
US58013MEY66,2028732.028
US075887BX67,2028340.667
XS2140531950,2028107.778
XS1882544973,2028044.631
XS1713474838,2027357.788
US87612EBA38,2026593
FR0010945436,2025158.2
US68389XAE58,2025005.278
XS1076018131,2024147.608
US037833DV96,2024114.333
XS1936784161,2023645.419
DE000A1YCQ29,2022045.029
US22550L2D25,2021420.444
US70014LAA89,2021389.653
US035240AV25,2021088.222
XS0543369184,2020499.265
US24703DBA81,2019976
US279158AC30,2018187.5
US404280AQ21,2018141.5
US20030NDH17,2017701.067
US25272KAN37,2017405.5
DE000A1RE1Q3,2016580.505
XS1197833137,2015880.131
US57636QAQ73,2015307.333
US48305QAD51,2014630.75
US747525AV54,2014467.333
US8935268Z94,2012975.59
US02209SAN36,2007794.917
US716743AL32,2007018
US437076BY77,2005371.569
US002824BF69,2004598.633
US404119BV04,2002368.667
CA037833CY47,2002143.625
XS0606704558,2002139.117
US717081EA70,2001379.333
XS2148623106,2000792.281
US38143U8H71,1999669.875
XS1910948675,1997898.166
US48667QAS49,1997588.75
