ISIN,Values
US131347CF14,1222046.028
US893647BK28,1220388.889
US345397XU23,1219042
US125581GQ55,1217722.222
US85205TAL44,1216106
US983793AD29,1215376.667
US460599AC74,1213179.611
US15135BAL53,1211172.699
US126307AY37,1210826.307
US87927VAM00,1209666.667
US911365BK93,1205120.278
US893647AX57,1202684.667
US45332JAA07,1195789.021
US02005NBF69,1185900.567
US228701AF51,1184471.194
US16411QAD34,1183579.375
US46266TAA60,1182652.778
US02156LAC54,1178502.722
US716768AC09,1177977.75
US20259BAA98,1177486.583
US038522AQ17,1176833.333
US097751BM26,1174212.5
US489399AG06,1173682.813
US853496AG21,1172493.056
US767754CH50,1171120.774
US64110LAV80,1169322.917
US345397ZH93,1168431.242
US17302XAK28,1165643.75
US120111BN87,1162883.333
US019576AB35,1161321.875
US345370CS72,1157414.194
US156700BA34,1156875
US26884LAF67,1156843.75
US50077LAL09,1155515.992
US89686QAA40,1154988.917
US126307BB25,1154793.75
US404121AH82,1154447.917
US78388JAV89,1154347.006
US00191AAD81,1152662.778
US589433AB71,1152624.093
US780097AH44,1146479.867
US058498AT38,1145317.5
US871503AU26,1144611.111
US98877DAC92,1143927.277
US852061AM20,1138131.622
US55303XAC92,1137558.886
US50076QAR74,1135885.83
US451102BW60,1135204.814
US364760AN86,1132468.75
US674599CE35,1129796.811
US037411BA28,1129202.695
US37960JAA60,1126849.306
US25277LAC00,1126808.483
US63934EAT55,1125883.458
US69318FAK49,1125520.833
US87901JAC99,1125159.444
US26884LAH24,1124615.972
US26885BAD29,1121169.806
US98919VAB18,1119041.25
US78472GAA76,1116895.833
US212015AH47,1116799.444
US912909AR98,1116745.409
US449934AD05,1115880.733
US25525PAA57,1115166.667
US20341WAD74,1114000.625
US64110LAN64,1113761.528
US80874YBA73,1111527.083
US674599DC69,1109484.754
US20338QAA13,1105562.5
US00774CAB37,1104290.507
US126307AS68,1101427.083
US48250NAB10,1100728.125
US983793AG59,1100562.5
US69346VAA70,1100530.278
US911365BF09,1095782.778
US013092AE14,1089227.083
US552953BX80,1086181.944
US69867DAA63,1086153.611
US87612BBP67,1084939.444
US48250NAA37,1084825
US629377CA80,1084439.976
US552704AE86,1083515
US674599DL68,1082054.832
US911365BE34,1081704.861
US50077LAU08,1079820.5
US90290MAC55,1078125
US85572NAA63,1077527.778
US92840VAA08,1077458.333
US64110LAU08,1076778.125
US74840LAB80,1075039.792
US460599AB91,1073409.685
US058498AS54,1070611.111
US527298BN21,1070566.806
US126307AF48,1068687.5
US55354GAH39,1068111.111
US00101JAK25,1067872.247
US29260FAE07,1067310.556
US55354GAL41,1066673.611
US87612BBJ08,1064309.028
US12543DBB55,1064219.833
US853496AD99,1064215.278
US01883LAA17,1063569.375
US185899AJ02,1062810.062
US85172FAK57,1062420.139
US90353TAF75,1062408.333
US294829AA48,1061074.583
US097751BF74,1060439.757
US82967NAW83,1059440.972
US58502BAC00,1057216.944
US097751BJ96,1057100
US87264AAU97,1055985
BE6300372289,1051986.111
US63938CAF59,1051763.889
US228189AB23,1051625
US88146LAA17,1051134.705
US66977WAQ24,1048843.688
US72147KAC27,1047513.056
US46284VAC54,1047490.417
US268648AN20,1046613.75
US46284VAF85,1046220.417
US432833AF84,1045740.417
US64072TAC99,1044892.361
US00489LAC72,1043136.285
US87264AAQ85,1041036.667
US150190AF30,1037652.778
US674599CH65,1037561.944
US03969AAR14,1037546.667
US984121CQ49,1037529.583
US019736AD97,1036500
US15135BAP67,1036347.546
US69331CAJ71,1036004.167
US345397WK59,1035902.778
US92564RAB15,1034822.917
US84762LAU98,1034296.389
US82967NAY40,1034052.083
US00164VAD55,1033130
US780153BC56,1030220.139
US69331CAH16,1030071.111
US345397WF64,1029331.111
US29273DAB64,1028613.547
US00101JAF30,1028283.889
US432833AB70,1027681.509
US44267DAB38,1027254.903
US15135BAD38,1026911.944
US64110LAX47,1022733.667
US451102BZ91,1021748.379
US958667AA50,1020917.5
US74913GAX34,1020193.125
US87901JAE55,1017805.972
US78442FEQ72,1016658.333
US526057CD41,1016447.425
US86765LAJ61,1014793.009
US958667AB34,1014591.667
US382550BE09,1007892.361
US66977WAR07,1007540.625
US92564RAE53,1007322.917
US404030AH17,1007260.791
US737446AN44,1006354.039
US50076QAN60,1006289.596
US68163PAA21,1003799.861
US88023JAA43,1000260
US247361ZJ00,997798.3611
US345397XZ10,995684
US93369KAA34,993162.3264
US26885BAH33,993098
US097751BP56,990934.5949
US436440AK75,985831.4931
US77578JAB44,984887.0222
US83001AAB89,984104.1667
US674599DG73,981901.29
US212015AN15,969676.6667
US251526BN89,968198.75
US410345AL67,967396.875
US55342UAJ34,965465.625
US48238TAA79,963646.3542
US103304BR11,960970.8333
US683720AA42,957405
US674599CJ22,957106.6667
US50212YAB02,955118.75
US92769VAJ89,954163.1944
US74736KAF84,953537.5
US05508RAE62,951356.25
US410345AJ12,951190.625
US037411BE40,950022.0536
US65341XAA63,949001.625
US00489LAA17,947481.6111
US50106GAA04,941842.5
US893647BB29,938233.8542
US683715AC05,937388
US18539UAC99,937083.6806
US228187AB66,934922.7186
US64110LAL09,933767.2222
US85172FAL31,932558.5938
US15135UAM18,931890.262
US50077LBG05,931034.7556
US432891AH24,930003.4693
US29273DAC48,928926.592
US345397ZB24,928120.5
US853496AC17,926618.0556
US38113YAE95,923762.8125
US212015AS02,921303.3872
US163851AB45,920106.4828
US74736KAG67,918473.7569
US674599DD43,917918.7188
US72147KAE82,915693.9028
US10524PAB67,915569.4444
US501797AL82,915417.3418
US74819RAP10,914550.3242
US683715AB22,913411.7708
US35671DBL82,913199.8611
US527298BK81,913067.3511
US12527GAE35,913018.2292
US345397A456,902028.725
US345397YQ02,901783.125
US398433AP71,901336.4583
US629377CE03,898688.8092
US382550BH30,898239.2889
US674599CR48,896988.8889
US398545AA16,896016.6493
US26483EAK64,891584.7917
US29278NAT00,890942.7083
US538034AR08,890473.2639
US89236YAB02,889661.25
US24718PAA57,887000
US00766TAD28,885447.2222
US78442FET12,884788.0208
US513272AB00,880298.7813
US513272AA27,879795.5104
US532716AU19,878078.6634
US382550BF73,878000
US38046XAE31,877699.7396
US817565CB82,876723.4097
US45174HBC07,875075
US46284VAE11,874001.5625
US78573NAC65,873712.8264
US26885BAC46,873397.1944
US85172FAQ28,872201.8889
US518613AJ33,872158
US185899AG62,871754.8125
US853254AB69,871635.25
US205677AB38,871233.6967
US552697AQ73,868867.5
US00688JAA51,867355.5556
US12008RAM97,863559.5313
US81761LAA08,863112.5333
US03938LAP94,862804.9006
US12527GAF00,861769.7917
US26884LAG41,861645.8333
US12527GAD51,860878.125
US058498AV83,860647.8125
US28414HAG83,860258.6904
US23311VAG23,859848.8021
US92240MBF41,859659.8958
US03969AAL44,857733.3333
US988498AL59,857268.2222
US345397YL15,856944.5
US845467AL33,853889.6107
US60855RAJ95,853604.4444
US1248EPBK83,853358.3333
US29261AAB61,852683.3333
US28414HAE36,851126.25
US00687YAA38,848990.625
US12543DBA72,848451.7776
US366651AB38,847325
US69318FAH10,842876.6667
US35671DAU90,841550.2929
US29261AAA88,841204
US527298BH52,840990.3333
US86765LAL18,840764.5792
US55303XAJ46,840603.0011
US444454AF95,840351.0723
US364760AM04,839554.6875
US92658TAQ13,838814.8611
US013092AB74,838073.0208
US366651AC11,837600
US72766QAD79,837441.6667
US04364VAA17,836062.5
US00164VAE39,835443.3333
US156700AX46,834890.625
US55303XAK19,834271.2222
US071734AF49,833175.4167
US03969AAP57,832020.6667
US444454AD48,831735.9785
US389284AA85,831715.8333
US600814AQ03,831640.625
US737446AP91,828914.5833
US98212BAL71,828211.5
US911365BD50,828140.8889
US817565CE22,827335.9375
US87612BBN10,826861.9792
US126307AH04,825609.375
US428102AC14,824932.4803
US527298BM48,824197.6458
US74166MAB28,820328.125
US44988MAC91,818645.8333
US071734AD90,818555.8333
US93369KAB17,817473.8542
US761735AV10,816022.2222
US911365BL76,815171.875
US983130AX35,815081.25
US28035QAA04,814255
US92769XAM74,813459.5833
US674599CC78,812997.7984
US629377CH34,812729.0208
US35671DBJ37,812700
US89686QAB23,811259.9444
US15135BAM37,811259.6678
US30251GAW78,811089.2708
US81727TAA60,810598.9583
US11284DAA37,807488.435
US576485AE64,805313.1042
US03938LBA17,804046.7083
US058498AR71,803829.1667
US48250NAC92,803040.625
US87612BBL53,802385.4167
US501797AS36,802214.1667
US40415RAS40,801283.8542
US29272WAA71,800799.0625
US125581GR39,800687.5
US745867AW12,800595.8333
US89054XAC92,800418.7953
US013822AA98,797531.25
US315292AS15,796833.3333
US95616AAA16,796796.9625
US460599AD57,796692.7083
US92346LAA17,794368.5222
US83001WAC82,793807.3333
US14987KAA16,792361.9792
US603051AA15,790667.7917
US88033GDE70,789708.5
US30251GAU13,789098.9583
US383909AG38,788875
US247361ZU54,788527.8
US78442FEL85,787953.125
US221644AA51,787781.25
US552953CG49,787125
US26483EAJ91,785531.9306
US097751BR13,785415
US57165PAB13,784885.4167
US12527GAC78,784096.875
US1248EPBG71,783742.1875
US747262AK96,783722.3958
US87422VAF58,780991.0417
US68245XAJ81,780826.1458
US35166FAA03,780688.7153
US40435WAB63,780643.3333
US674599CN34,780516.6667
US88104LAE39,780305.5556
US911365BM59,780268.2292
US911365BH64,780031.9792
US103304BM24,779835.5642
US817610AA64,779356.7708
US28228PAA93,779015.625
US345397ZW60,778651.125
US45031UCF66,778315.0625
US451102BQ92,778221.8519
US013092AD31,777614.5833
US68245XAH26,777611.9792
US45174HBE62,777203.125
US91740PAF53,774579.6875
US85172FAR01,773174.4792
US095370AB82,771375.3006
US81725WAJ27,770875
US78410GAB05,769125
US92343EAF97,767757.8125
US58502BAA44,767484.375
US911365BN33,767433.3333
US163851AD01,767313.3333
US92564RAC97,764489.5833
US50168AAB61,763481.25
US03938LBB99,763203.75
US69073TAT07,762161.4583
US92564RAD70,761783.125
US460599AE31,761533.125
US88104LAG86,760168.6944
US69073TAR41,760151.4861
US03966VAB36,759416
US030981AK06,758897.2222
US39479TAA43,758527.7778
US44106MAZ59,757050.9375
US345397WW97,755211.6667
US345397YG20,755130.625
US87612BBG68,755104.1667
US50168AAA88,754716.25
US030981AJ33,753154.6875
US62886HAR21,752746.875
US91740PAC23,752074.2188
US64073KAA16,751828.4236
US03969AAQ31,751395.1667
US64110LAJ52,750971.2778
US410345AN24,750954.1667
US15135UAR05,750746.5026
US893647AZ06,750667.9167
US47010LAA08,750449.7778
US719245AD47,749773.125
US345397XA68,747524.1875
US98955DAA81,746429.5417
US60855RAG56,745254.5139
US92676XAE76,745106.25
US26885BAF76,743838.6667
US90184LAG77,743489.9306
US095796AA63,743462.027
US20338HAB96,743004.1667
US701885AH87,741015.625
US26884LAE92,740662.5
US65342QAK85,740449.3056
US92553PBC59,738914.5833
US389375AJ52,735449.0694
US75041VAA26,735372.6389
US02406PAR10,735134.725
US680665AL00,735109.6875
US345397YT41,734335.2083
US651229AY21,732858.1699
US030981AH76,731183.625
US87470LAA98,730567.0833
US68752DAA63,729979.6875
US34960PAA93,729706.25
US35671DCE31,729050
US00101JAH95,728189.7432
US74166NAA28,727477.5715
US37185LAL62,726864.925
US26907YAB02,726713.4375
US62886EAS72,723320.2083
US024747AF43,722011.1111
US13323AAB61,721402.5
US983133AA70,721242.1875
US421924BK63,716972.0833
US35640YAB39,716172.9167
US674599CG82,715860.4167
US103304BQ38,715721.3
US527298BF96,715004.2986
US013817AK77,714406.9792
US92552VAK61,713153.875
US085790AY96,712320.4861
US29278NAA19,710883.6806
US23166MAA18,710043.75
US12686CBB46,707731.3758
US674599DJ13,704146.8406
US12543DBD12,703112.5427
US526057BZ61,702975
US37247DAP15,702693.1926
US013817AJ05,702321.4583
US85571BAG05,702283.0451
US85172FAD15,702121.875
US552953CE90,699886.9744
US79546VAL09,699616.1227
US345370BY59,699370.9208
US513075BL48,697626.0417
US73179PAM86,696786.4583
US28228PAB76,695818.8889
US71953LAA98,695575.3819
US70052LAA17,694909.5833
US00213MAK09,693917.3838
US210383AF21,690346.8542
US013092AA91,688691
US85172FAS83,687469.8333
US63934EAW84,687296.3333
US716768AD81,685263.8542
US92769XAR61,684856.25
US911684AD06,684353.5111
US00688JAB35,683262
US855030AP77,683256.9444
US552953CF65,682300.875
US988498AM33,681112.5
US466253AA96,680658.3333
US05583PAA66,680424.5486
US35804HAA41,678850
US382550BG56,677607.2917
US131347CJ36,677554.5833
US67091GAA13,676867.6597
US412690AF62,674336.1111
US00404AAJ88,673054.6875
US72431PAA03,672663.3333
US36257BAA70,672646.4186
US65342RAA86,671113.7153
US98212BAE39,671110.0902
US745867AX94,671097.3333
US226373AL21,670401.7031
US63938CAK45,669150.2222
US701885AD73,669136.6319
US97789LAB27,668925
US17302XAJ54,668394.0972
US29272WAB54,666599.1667
US50048VAA89,666500
US50076QAZ90,666128.4221
US73179PAK21,665637.5
US98954UAB98,665416.6667
US87470LAD38,663364.5833
US35671DCD57,662422.5
US103304BS93,662131.25
US85529VAA26,661567.5
US172441AZ03,660714.6563
US44055PAA49,660619
US69318FAG37,660424.0486
US98877DAB10,659342.0041
US674599CM50,658937.5
US53219LAT61,658312.5
US86723CAF59,657270.8333
US103186AB88,656268.75
US12508EAF88,655907.25
US91879QAL32,655148
US42704MAA09,654243.75
US88827AAA16,653668.3472
US98310WAJ71,653155.2083
US12513GBA67,651870.7917
US86614RAG20,650443.1736
US18539UAB17,649620.8333
US92660FAG90,648852.0833
US171871AP14,648004.8611
US29260FAF71,647852.0833
US20451RAA05,647600
US12513GBD07,647377.5
US92660FAK03,647305.9167
US15723RAA23,646300
US577081BD37,646135.4167
US126307BD80,645677.3958
US35671DCC74,645250
